ID	Data + units	Time
6	-0.395200, 1.938000, 0.159600 X deg/s, Y deg/s, Z deg/s	At T: 1540594765.718815431s
6	-0.440800, 1.938000, 0.136800 X deg/s, Y deg/s, Z deg/s	At T: 1540594765.722085295s
6	-0.380000, 1.938000, 0.106400 X deg/s, Y deg/s, Z deg/s	At T: 1540594765.725355159s
6	-0.266000, 1.938000, 0.076000 X deg/s, Y deg/s, Z deg/s	At T: 1540594765.728625023s
6	-0.205200, 1.938000, 0.030400 X deg/s, Y deg/s, Z deg/s	At T: 1540594765.731894887s
6	-0.174800, 1.938000, 0.007600 X deg/s, Y deg/s, Z deg/s	At T: 1540594765.735164751s
6	-0.197600, 1.938000, -0.015200 X deg/s, Y deg/s, Z deg/s	At T: 1540594765.738434615s
6	-0.243200, 1.938000, -0.022800 X deg/s, Y deg/s, Z deg/s	At T: 1540594765.741704479s
6	-0.258400, 1.938000, 0.000000 X deg/s, Y deg/s, Z deg/s	At T: 1540594765.744974343s
6	-0.258400, 1.938000, 0.022800 X deg/s, Y deg/s, Z deg/s	At T: 1540594765.748244207s
6	-0.205200, 1.938000, 0.000000 X deg/s, Y deg/s, Z deg/s	At T: 1540594765.751514071s
6	-0.144400, -0.007600, -0.053200 X deg/s, Y deg/s, Z deg/s	At T: 1540594765.754783935s
6	-0.091200, -0.007600, -0.121600 X deg/s, Y deg/s, Z deg/s	At T: 1540594765.758053799s
6	-0.083600, -0.007600, -0.129200 X deg/s, Y deg/s, Z deg/s	At T: 1540594765.761323663s
6	-0.098800, -0.007600, -0.091200 X deg/s, Y deg/s, Z deg/s	At T: 1540594765.764593527s
6	-0.060800, -0.007600, -0.007600 X deg/s, Y deg/s, Z deg/s	At T: 1540594765.767863391s
6	-0.007600, -0.007600, 0.076000 X deg/s, Y deg/s, Z deg/s	At T: 1540594765.771133255s
6	-0.007600, -0.007600, 0.114000 X deg/s, Y deg/s, Z deg/s	At T: 1540594765.774403119s
6	-0.076000, -0.007600, 0.114000 X deg/s, Y deg/s, Z deg/s	At T: 1540594766.785620208s
6	-0.159600, -0.007600, 0.083600 X deg/s, Y deg/s, Z deg/s	At T: 1540594766.791715748s
6	-0.174800, -0.007600, 0.060800 X deg/s, Y deg/s, Z deg/s	At T: 1540594766.797811288s
6	-0.144400, 1.938000, 0.053200 X deg/s, Y deg/s, Z deg/s	At T: 1540594766.803906828s
6	-0.098800, 1.938000, 0.045600 X deg/s, Y deg/s, Z deg/s	At T: 1540594766.810002368s
6	-0.106400, 1.938000, 0.030400 X deg/s, Y deg/s, Z deg/s	At T: 1540594766.816097908s
6	-0.167200, 1.938000, 0.038000 X deg/s, Y deg/s, Z deg/s	At T: 1540594766.822193448s
6	-0.235600, 1.938000, 0.076000 X deg/s, Y deg/s, Z deg/s	At T: 1540594766.828288988s
6	-0.197600, 1.938000, 0.121600 X deg/s, Y deg/s, Z deg/s	At T: 1540594766.834384528s
6	-0.144400, 1.938000, 0.136800 X deg/s, Y deg/s, Z deg/s	At T: 1540594766.840480068s
6	-0.091200, 1.938000, 0.083600 X deg/s, Y deg/s, Z deg/s	At T: 1540594766.846575608s
6	-0.114000, 1.938000, 0.007600 X deg/s, Y deg/s, Z deg/s	At T: 1540594766.852671148s
6	-0.129200, 1.938000, -0.083600 X deg/s, Y deg/s, Z deg/s	At T: 1540594766.858766688s
6	-0.129200, 1.938000, -0.091200 X deg/s, Y deg/s, Z deg/s	At T: 1540594766.864862228s
6	-0.114000, 1.938000, -0.060800 X deg/s, Y deg/s, Z deg/s	At T: 1540594766.870957768s
6	-0.106400, -0.007600, 0.000000 X deg/s, Y deg/s, Z deg/s	At T: 1540594766.877053308s
6	-0.091200, -0.007600, 0.022800 X deg/s, Y deg/s, Z deg/s	At T: 1540594766.883148848s
6	-0.068400, 1.938000, -0.007600 X deg/s, Y deg/s, Z deg/s	At T: 1540594766.889244388s
6	-0.030400, 1.938000, -0.053200 X deg/s, Y deg/s, Z deg/s	At T: 1540594766.895339928s
6	0.045600, 0.000000, -0.030400 X deg/s, Y deg/s, Z deg/s	At T: 1540594766.901435468s
6	0.091200, 0.000000, 0.022800 X deg/s, Y deg/s, Z deg/s	At T: 1540594766.907531008s
6	0.076000, 0.000000, 0.068400 X deg/s, Y deg/s, Z deg/s	At T: 1540594766.913626548s
6	-0.045600, 1.938000, 0.030400 X deg/s, Y deg/s, Z deg/s	At T: 1540594766.919722088s
6	-0.174800, -0.007600, -0.030400 X deg/s, Y deg/s, Z deg/s	At T: 1540594766.925817628s
6	-0.235600, 1.938000, -0.038000 X deg/s, Y deg/s, Z deg/s	At T: 1540594766.931913168s
6	-0.212800, 1.938000, 0.000000 X deg/s, Y deg/s, Z deg/s	At T: 1540594766.938008708s
6	-0.152000, 1.938000, 0.076000 X deg/s, Y deg/s, Z deg/s	At T: 1540594766.944104248s
6	-0.121600, 1.938000, 0.098800 X deg/s, Y deg/s, Z deg/s	At T: 1540594766.950199788s
6	-0.106400, 1.938000, 0.068400 X deg/s, Y deg/s, Z deg/s	At T: 1540594766.956295328s
6	-0.091200, 1.938000, 0.022800 X deg/s, Y deg/s, Z deg/s	At T: 1540594766.962390868s
6	-0.076000, 1.938000, 0.045600 X deg/s, Y deg/s, Z deg/s	At T: 1540594766.968486408s
6	-0.076000, -0.007600, 0.091200 X deg/s, Y deg/s, Z deg/s	At T: 1540594766.974581948s
6	-0.098800, -0.007600, 0.091200 X deg/s, Y deg/s, Z deg/s	At T: 1540594766.980677488s
6	-0.106400, -0.007600, 0.060800 X deg/s, Y deg/s, Z deg/s	At T: 1540594766.986773028s
6	-0.121600, -0.007600, 0.053200 X deg/s, Y deg/s, Z deg/s	At T: 1540594766.992868568s
6	-0.098800, -0.007600, 0.098800 X deg/s, Y deg/s, Z deg/s	At T: 1540594766.998964108s
6	-0.114000, -0.007600, 0.136800 X deg/s, Y deg/s, Z deg/s	At T: 1540594767.005059648s
