ID	Data + units	Time
7	-0.037050, 0.040950, 0.990600 X G, Y G, Z G	At T: 1540595017.984865848s
7	-0.044850, 0.042900, 0.990600 X G, Y G, Z G	At T: 1540595017.995149157s
7	-0.042900, 0.040950, 0.994500 X G, Y G, Z G	At T: 1540595018.005432466s
7	-0.039000, 0.042900, 0.988650 X G, Y G, Z G	At T: 1540595018.015715775s
7	-0.048750, 0.042900, 0.996450 X G, Y G, Z G	At T: 1540595019.017240152s
7	-0.040950, 0.042900, 0.990600 X G, Y G, Z G	At T: 1540595019.027173103s
7	-0.040950, 0.044850, 0.982800 X G, Y G, Z G	At T: 1540595019.037106054s
7	-0.042900, 0.040950, 0.990600 X G, Y G, Z G	At T: 1540595019.047039005s
7	-0.042900, 0.040950, 0.988650 X G, Y G, Z G	At T: 1540595019.056971956s
7	-0.044850, 0.042900, 0.988650 X G, Y G, Z G	At T: 1540595019.066904907s
7	-0.042900, 0.042900, 0.990600 X G, Y G, Z G	At T: 1540595019.076837858s
7	-0.040950, 0.044850, 0.988650 X G, Y G, Z G	At T: 1540595019.086770809s
7	-0.046800, 0.042900, 0.988650 X G, Y G, Z G	At T: 1540595019.096703760s
7	-0.042900, 0.042900, 0.994500 X G, Y G, Z G	At T: 1540595019.106636711s
7	-0.040950, 0.044850, 0.986700 X G, Y G, Z G	At T: 1540595019.116569662s
7	-0.046800, 0.042900, 0.971100 X G, Y G, Z G	At T: 1540595019.126502613s
7	-0.040950, 0.042900, 0.986700 X G, Y G, Z G	At T: 1540595019.136435564s
7	-0.040950, 0.044850, 0.986700 X G, Y G, Z G	At T: 1540595019.146368515s
7	-0.044850, 0.042900, 0.982800 X G, Y G, Z G	At T: 1540595019.156301466s
7	-0.039000, 0.042900, 0.990600 X G, Y G, Z G	At T: 1540595019.166234417s
7	-0.042900, 0.044850, 0.988650 X G, Y G, Z G	At T: 1540595019.176167368s
7	-0.046800, 0.044850, 0.992550 X G, Y G, Z G	At T: 1540595019.186100319s
7	-0.042900, 0.040950, 0.988650 X G, Y G, Z G	At T: 1540595019.196033270s
7	-0.040950, 0.040950, 0.988650 X G, Y G, Z G	At T: 1540595019.205966221s
7	-0.042900, 0.040950, 0.990600 X G, Y G, Z G	At T: 1540595019.215899172s
7	-0.046800, 0.042900, 0.978900 X G, Y G, Z G	At T: 1540595019.225832123s
7	-0.046800, 0.040950, 0.992550 X G, Y G, Z G	At T: 1540595019.235765074s
7	-0.044850, 0.042900, 0.988650 X G, Y G, Z G	At T: 1540595019.245698025s
7	-0.042900, 0.040950, 0.988650 X G, Y G, Z G	At T: 1540595020.279764382s
7	-0.046800, 0.040950, 0.990600 X G, Y G, Z G	At T: 1540595020.290662669s
7	-0.044850, 0.040950, 0.990600 X G, Y G, Z G	At T: 1540595020.301560956s
7	-0.048750, 0.044850, 0.990600 X G, Y G, Z G	At T: 1540595020.312459243s
